name,description,score,m_score,price
iMac (27-inch Late 2009),Intel Core i5-750 @ 2.7 GHz (4 cores),492,1487,0
Mac Pro (Mid 2012),Intel Xeon E5645 @ 2.4 GHz (12 cores),495,4609,0
MacBook Air (13-inch Mid 2011),Intel Core i7-2677M @ 1.8 GHz (2 cores),498,1011,0
MacBook Pro (15-inch Early 2011),Intel Core i7-2635QM @ 2.0 GHz (4 cores),499,1866,0
MacBook Air (11-inch Mid 2012),Intel Core i5-3317U @ 1.7 GHz (2 cores),503,1099,0
Mac mini (Mid 2011),Intel Core i5-2415M @ 2.3 GHz (2 cores),507,1125,0
MacBook Pro (13-inch Late 2011),Intel Core i5-2435M @ 2.4 GHz (2 cores),507,1105,0
MacBook (Early 2016),Intel Core m3-6Y30 @ 1.1 GHz (2 cores),508,1151,0
MacBook Air (11-inch Mid 2011),Intel Core i7-2677M @ 1.8 GHz (2 cores),512,1071,0
Mac Pro (Mid 2010),Intel Xeon W3530 @ 2.8 GHz (4 cores),514,1952,0
iMac (27-inch Late 2009),Intel Core i7-860 @ 2.8 GHz (4 cores),516,1816,0
MacBook Air (13-inch Mid 2012),Intel Core i5-3427U @ 1.8 GHz (2 cores),526,1141,0
iMac (27-inch Mid 2010),Intel Core i5-760 @ 2.8 GHz (4 cores),528,1637,0
Mac Pro (Early 2009),Intel Xeon W3540 @ 2.9 GHz (4 cores),529,1947,0
MacBook (Early 2015),Intel Core M-5Y31 @ 1.1 GHz (2 cores),535,1043,0
MacBook Pro (15-inch Early 2011),Intel Core i7-2720QM @ 2.2 GHz (4 cores),538,1936,0
Mac Pro (Mid 2010),Intel Xeon X5650 @ 2.7 GHz (12 cores),547,5188,0
Xserve (Early 2009),Intel Xeon X5570 @ 2.9 GHz (8 cores),548,3811,0
MacBook Air (13-inch Mid 2013),Intel Core i5-4250U @ 1.3 GHz (2 cores),554,1136,0
Mac mini (Mid 2011),Intel Core i7-2635QM @ 2.0 GHz (4 cores),555,1933,0
Mac Pro (Early 2009),Intel Xeon X5570 @ 2.9 GHz (8 cores),559,3870,0
MacBook Air (11-inch Mid 2013),Intel Core i5-4250U @ 1.3 GHz (2 cores),559,1138,0
MacBook (Early 2015),Intel Core M-5Y51 @ 1.2 GHz (2 cores),560,1121,0
Mac mini (Mid 2011),Intel Core i5-2520M @ 2.5 GHz (2 cores),561,1246,0
iMac (27-inch Mid 2010),Intel Core i7-870 @ 2.9 GHz (4 cores),562,2027,0
Mac mini (Late 2012),Intel Core i5-3210M @ 2.5 GHz (2 cores),570,1267,0
MacBook Pro (13-inch Early 2011),Intel Core i7-2620M @ 2.7 GHz (2 cores),571,1225,0
MacBook Pro (15-inch Late 2011),Intel Core i7-2675QM @ 2.2 GHz (4 cores),571,2114,0
MacBook Pro (17-inch Early 2011),Intel Core i7-2720QM @ 2.2 GHz (4 cores),572,2063,0
Mac Pro (Mid 2010),Intel Xeon W3565 @ 3.2 GHz (4 cores),575,2152,0
MacBook Pro (13-inch Retina),Intel Core i5-3210M @ 2.5 GHz (2 cores),575,1246,1931
MacBook Air (13-inch Early 2014),Intel Core i5-4260U @ 1.4 GHz (2 cores),579,1185,0
iMac (21.5-inch Mid 2014),Intel Core i5-4260U @ 1.4 GHz (2 cores),580,1180,0
iMac (21.5 inch Late 2011),Intel Core i3-2100 @ 3.1 GHz (2 cores),581,1297,0
MacBook Pro (15-inch Early 2011),Intel Core i7-2820QM @ 2.3 GHz (4 cores),584,2092,0
MacBook Pro (13-inch Mid 2012),Intel Core i5-3210M @ 2.5 GHz (2 cores),584,1275,1362.72
MacBook Pro (13-inch Retina Early 2013),Intel Core i5-3230M @ 2.6 GHz (2 cores),585,1272,0
Mac mini (Mid 2011),Intel Core i7-2620M @ 2.7 GHz (2 cores),586,1296,0
Mac Pro (Mid 2010),Intel Xeon X5670 @ 2.9 GHz (12 cores),588,5445,0
MacBook Air (11-inch Early 2014),Intel Core i5-4260U @ 1.4 GHz (2 cores),588,1211,0
MacBook (Early 2016),Intel Core m5-6Y54 @ 1.2 GHz (2 cores),588,1322,0
MacBook Pro (13-inch Late 2011),Intel Core i7-2640M @ 2.8 GHz (2 cores),592,1257,0
iMac (21.5-inch Mid 2010),Intel Core i5-680 @ 3.6 GHz (2 cores),594,1288,0
MacBook Pro (17-inch Early 2011),Intel Core i7-2820QM @ 2.3 GHz (4 cores),595,2155,0
Mac mini (Late 2014),Intel Core i5-4260U @ 1.4 GHz (2 cores),604,1228,0
MacBook Air (13-inch Mid 2012),Intel Core i7-3667U @ 2.0 GHz (2 cores),605,1295,0
MacBook Air (11-inch Mid 2012),Intel Core i7-3667U @ 2.0 GHz (2 cores),606,1303,0
iMac (27-inch Mid 2010),Intel Core i5-680 @ 3.6 GHz (2 cores),608,1311,0
Mac Pro (Mid 2012),Intel Xeon X5675 @ 3.1 GHz (12 cores),612,5648,0
MacBook Air (13-inch Early 2015),Intel Core i5-5250U @ 1.6 GHz (2 cores),612,1260,0
MacBook (Early 2015),Intel Core M-5Y71 @ 1.3 GHz (2 cores),626,1200,0
MacBook Air (11-inch Early 2015),Intel Core i5-5250U @ 1.6 GHz (2 cores),628,1309,0
MacBook Pro (15-inch Late 2011),Intel Core i7-2760QM @ 2.4 GHz (4 cores),633,2259,0
iMac (21.5-inch Late 2015),Intel Core i5-5250U @ 1.6 GHz (2 cores),637,1321,0
